x_m,y_m,w_tr_right_m,w_tr_left_m,s_m,heading_rad,curvature_radpm
211.062455,629.992953,6.313,6.267,1099.9156131321663,1.5157951269674501,0.0029288215682029477
211.300869,634.990221,6.305,6.274,1104.9185651306589,1.5306764842679936,0.0030203506106778666
211.463704,639.988847,6.297,6.282,1109.9198426799558,1.5460144707171448,0.0031133610468421845
211.548672,644.987546,6.317,6.244,1114.9192637718047,1.5616726944445682,0.003150515743418343
211.55491,649.985246,6.349,6.186,1119.9169676648585,1.5769644674634573,0.0029683423344858168
211.487026,654.981679,6.38,6.128,1124.913861796311,1.5912067821378857,0.002731564439143042
211.35095,659.976776,6.412,6.07,1129.910811937866,1.6042627703113428,0.002493674173583894
211.152612,664.970465,6.399,6.054,1134.9084381534772,1.6161300098307176,0.0022552998556137536
210.897942,669.962676,6.377,6.047,1139.9071407328893,1.6268081149962157,0.0020170018342510914
210.592868,674.953337,6.354,6.04,1144.9071174690748,1.6362977344810532,0.001778902676506804
210.243321,679.942378,6.336,6.036,1149.9083886279793,1.6446002910044855,0.0015413704066723146
209.855231,684.929728,6.337,6.047,1154.9108154261044,1.651724333842578,0.0013069816265244432
209.434464,689.915321,6.338,6.058,1159.9141325687547,1.6577631107395565,0.0011070085297154428
208.986028,694.899173,6.339,6.069,1164.9181185403577,1.6628663605450897,0.0009327209478719265
208.514289,699.881359,6.34,6.08,1169.9225880449821,1.66709973531632,0.0007591691253163416
208.023601,704.861955,6.34,6.091,1174.927296950459,1.6704652874593269,0.0005858269588441004
207.518318,709.841038,6.341,6.102,1179.9319526260253,1.6729639975765882,0.00041275259642252536
207.002791,714.818683,6.342,6.113,1184.9362225861448,1.6745962701572632,0.00023960307185895636
206.481374,719.794966,6.343,6.124,1189.9397481615745,1.6753619240990854,6.642185564856853e-05
205.95842,724.769966,6.344,6.135,1194.9421581693723,1.6752607770209156,-0.00010690800030690352
